 market ,country_code,region,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,round_A,round_B, funding_total_usd 
 Automotive ,USA,Chicago,1,2013-01,2013-Q1,2013,0,0,0,0, -   
 Software ,RUS,RUS - Other,2,2011-04,2011-Q2,2011,1870000,0,0,0," 26,70,000 "
 Retail ,USA,KY - Other,1,,,,0,0,0,0," 5,30,000 "
,,,1,2014-08,2014-Q3,2014,30000,0,0,0,"30,000"
 Video ,,,1,2001-01,2001-Q1,2001,0,0,0,0," 7,32,064 "
 3D Printing ,USA,Salt Lake City,1,,,,0,200000,0,0," 2,00,000 "
 Biotechnology ,USA,Louisville,2,,,,0,7200000,0,0," 74,36,500 "
 Mobile ,IND,Bangalore,2,2006-06,2006-Q2,2006,0,2065000,1240000,825000," 20,65,000 "
 Curated Web ,,,1,,,,0,475000,0,0," 4,75,000 "
 Health and Wellness ,USA,New York City,1,2009-11,2009-Q4,2009,750000,0,0,0," 7,50,000 "
 Business Analytics ,FRA,Picardie,1,2013-02,2013-Q1,2013,0,0,0,0, -   
 Mobile ,HUN,Budapest,2,2009-09,2009-Q3,2009,0,1700000,1700000,0," 17,00,000 "
 Music ,USA,Seattle,1,2003-01,2003-Q1,2003,0,20000000,20000000,0," 2,00,00,000 "
 Mobile ,CHN,Beijing,2,2005-07,2005-Q3,2005,0,746185,746185,0," 7,46,185 "
 Semiconductors ,CHN,Guangdong,3,2006-11,2006-Q4,2006,0,13708150,0,6500000," 1,37,08,150 "
 Messaging ,USA,SF Bay Area,1,2005-01,2005-Q1,2005,0,4000000,4000000,0," 40,00,000 "
 Software ,USA,Fayetteville,1,2007-02,2007-Q1,2007,0,0,0,0, -   
 Web Hosting ,USA,SF Bay Area,3,2004-06,2004-Q2,2004,0,65000000,10000000,20000000," 6,50,00,000 "
 Android ,,,1,2010-07,2010-Q3,2010,1500000,0,0,0," 15,00,000 "
 Social Media ,,,1,2014-02,2014-Q1,2014,0,0,0,0, -   
 Enterprise Software ,CHN,Shenzhen,1,,,,0,5300000,5300000,0," 53,00,000 "
 Biotechnology ,ESP,Navarra,2,,,,0,4783500,0,0," 47,83,500 "
 Software ,USA,"Washington, D.C.",4,2006-08,2006-Q3,2006,0,22520000,12000000,0," 2,59,20,000 "
 Software ,USA,Boston,3,2007-01,2007-Q1,2007,50000,961601,0,0," 10,11,601 "
 Curated Web ,USA,Salt Lake City,1,,,,0,1500000,0,1500000," 15,00,000 "
,,,1,2008-01,2008-Q1,2008,0,0,0,0, -   
 Clean Technology ,GBR,Plymouth,1,,,,0,0,0,0," 5,00,00,000 "
 Curated Web ,CHN,CHN - Other,2,2010-05,2010-Q2,2010,0,1000000,1000000,0," 15,00,000 "
 Game ,JPN,Tokyo,1,,,,0,1000000,0,0," 10,00,000 "
 Mobile ,FRA,Nice,1,2005-01,2005-Q1,2005,0,1394250,0,0," 13,94,250 "
 Developer APIs ,ESP,Barcelona,2,2007-12,2007-Q4,2007,800000,0,0,0," 50,00,000 "
 Biotechnology ,USA,SF Bay Area,3,2011-01,2011-Q1,2011,40000,0,0,0," 3,90,000 "
 Software ,USA,Austin,1,2008-01,2008-Q1,2008,2000000,0,0,0," 20,00,000 "
 Human Resources ,USA,SF Bay Area,1,2012-01,2012-Q1,2012,0,0,0,0, -   
 Manufacturing ,FRA,Franche-Comte,1,,,,0,13780000,0,0," 1,37,80,000 "
 Clean Technology ,GBR,Norfolk,1,2007-01,2007-Q1,2007,0,15152514,0,0," 1,51,52,514 "
 Software ,USA,SF Bay Area,1,2013-08,2013-Q3,2013,1000000,0,0,0," 10,00,000 "
 Clean Technology ,USA,Seattle,3,1999-01,1999-Q1,1999,0,15000000,0,2000000," 1,50,00,000 "
 Software ,IRL,IRL - Other,1,2003-01,2003-Q1,2003,0,272000,0,0," 2,72,000 "
 Online Shopping ,IRL,Dublin,1,2004-01,2004-Q1,2004,0,25500000,25500000,0," 2,55,00,000 "
 Security ,USA,SF Bay Area,6,2002-01,2002-Q1,2002,0,53000000,5000000,10000000," 5,65,67,194 "
 Flash Storage ,USA,"Columbus, Ohio",2,2007-11,2007-Q4,2007,0,3393925,1700000,0," 33,93,925 "
 Video ,,,1,,,,0,0,0,0," 1,63,934 "
 Specialty Foods ,DEU,Hamburg,1,,,,0,0,0,0, -   
 Networking ,BWA,BWA - Other,1,2013-07,2013-Q3,2013,0,0,0,0,"1,000"
 E-Commerce ,USA,WA - Other,5,2009-04,2009-Q2,2009,25000,1959979,1000000,0," 22,34,979 "
,GBR,London,1,,,,228187,0,0,0," 2,28,187 "
 Enterprise Software ,,,2,1997-01,1997-Q1,1997,513200,5733600,5733600,0," 62,46,800 "
 Machine Learning ,USA,San Diego,1,2014-01,2014-Q1,2014,0,81000,0,0,"81,000"
 Entrepreneur ,USA,Atlanta,3,2008-01,2008-Q1,2008,1050000,0,0,0," 10,50,000 "
 Messaging ,USA,Baltimore,1,2010-01,2010-Q1,2010,0,750000,750000,0," 7,50,000 "
 Security ,USA,SF Bay Area,4,2004-01,2004-Q1,2004,0,38064570,0,11200000," 3,80,64,570 "
 Enterprise Software ,USA,SF Bay Area,2,2013-01,2013-Q1,2013,800000,0,0,0," 8,00,000 "
 Software ,USA,Atlanta,1,2004-01,2004-Q1,2004,0,1000000,0,0," 10,00,000 "
 Commercial Real Estate ,USA,SF Bay Area,4,2011-01,2011-Q1,2011,400000,17000000,5000000,12000000," 1,74,00,000 "
 Promotional ,CHE,Zurich,2,2011-01,2011-Q1,2011,0,0,0,0, -   
 Web Hosting ,SWE,Stockholm,1,,,,0,2258720,0,2258720," 22,58,720 "
 Software ,USA,Seattle,1,2004-08,2004-Q3,2004,0,0,0,0, -   
 Mobile ,SWE,Stockholm,2,,,,485610,0,0,0," 4,85,610 "
 Biotechnology ,USA,Boston,3,2011-01,2011-Q1,2011,0,32956999,15000000,0," 3,79,56,999 "
 Web Design ,USA,Atlanta,1,2014-06,2014-Q2,2014,0,0,0,0, -   
 Games ,USA,Long Island,1,1991-05,1991-Q2,1991,0,0,0,0," 4,50,000 "
 Game ,KOR,Seoul,1,,,,0,0,0,0," 10,00,00,000 "
 Software ,USA,SF Bay Area,1,2006-08,2006-Q3,2006,0,0,0,0, -   
 Analytics ,USA,New York City,1,2011-01,2011-Q1,2011,0,0,0,0, -   
 Clean Technology ,USA,Myrtle Beach,1,2005-01,2005-Q1,2005,20900,0,0,0,"20,900"
 Clean Technology ,USA,SF Bay Area,2,,,,0,0,0,0," 11,60,000 "
 Mobile ,USA,"Washington, D.C.",1,2005-01,2005-Q1,2005,0,0,0,0," 33,78,975 "
,USA,Sarasota - Bradenton,1,,,,0,22000,0,0,"22,000"
 Cloud Computing ,USA,SF Bay Area,6,2006-01,2006-Q1,2006,0,9146354,2850000,1000000," 94,16,354 "
 Advertising ,USA,SF Bay Area,8,2004-01,2004-Q1,2004,0,64288000,0,0," 7,02,88,000 "
 Marketplaces ,,,1,2012-03,2012-Q1,2012,0,0,0,0," 10,00,000 "
 E-Commerce ,JPN,Tokyo,1,,,,500000,0,0,0," 5,00,000 "
